W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
4,6,0.4,0.05,False,16107,4265,172,0.2159754672897196,3510.4484291194285
4,6,0.4,0.1,False,16117,4255,172,0.21548870716510904,3510.4484291194285
4,6,0.5,0.02,False,18124,2253,167,0.11779595015576325,3510.4484291194285
4,6,0.5,0.05,False,18131,2246,167,0.11745521806853583,3510.4484291194285
4,6,0.5,0.1,False,18135,2242,167,0.11726051401869159,3510.4484291194285
4,6,0.6,0.02,False,19410,985,149,0.055198598130841124,3510.4484291194285
4,6,0.6,0.05,False,19410,985,149,0.055198598130841124,3510.4484291194285
4,6,0.6,0.1,False,19410,985,149,0.055198598130841124,3510.4484291194285
4,6,0.7,0.02,False,19981,419,144,0.027404595015576325,3510.4484291194285
4,6,0.7,0.05,False,19981,419,144,0.027404595015576325,3510.4484291194285
4,6,0.7,0.1,False,19981,419,144,0.027404595015576325,3510.4484291194285
6,2,0.3,0.02,False,10472,9910,162,0.4902647975077882,3510.4484291194285
6,2,0.3,0.05,False,10493,9890,161,0.4892426012461059,3510.4484291194285
6,2,0.3,0.1,False,10521,9858,165,0.48787967289719625,3510.4484291194285
6,2,0.4,0.02,False,14896,5476,172,0.2749221183800623,3510.4484291194285
6,2,0.4,0.05,False,14912,5461,171,0.27414330218068533,3510.4484291194285
6,2,0.4,0.1,False,14928,5440,176,0.2733644859813084,3510.4484291194285
6,2,0.5,0.02,False,17402,2975,167,0.15294003115264798,3510.4484291194285
6,2,0.5,0.05,False,17405,2973,166,0.1527940031152648,3510.4484291194285
6,2,0.5,0.1,False,17416,2962,166,0.15225856697819315,3510.4484291194285
6,2,0.6,0.02,False,19031,1364,149,0.07364680685358256,3510.4484291194285
6,2,0.6,0.05,False,19033,1363,148,0.07354945482866043,3510.4484291194285
6,2,0.6,0.1,False,19039,1357,148,0.07325739875389409,3510.4484291194285
6,2,0.7,0.02,False,19792,608,144,0.03660436137071651,3510.4484291194285
6,2,0.7,0.05,False,19797,604,143,0.036360981308411214,3510.4484291194285
6,2,0.7,0.1,False,19804,598,142,0.0360202492211838,3510.4484291194285
6,3,0.3,0.02,False,11424,8958,162,0.4439252336448598,3510.4484291194285
6,3,0.3,0.05,False,11461,8922,161,0.4421242211838006,3510.4484291194285
6,3,0.3,0.1,False,11521,8860,163,0.43920366043613707,3510.4484291194285
6,3,0.4,0.02,False,15691,4681,172,0.23622468847352024,3510.4484291194285
6,3,0.4,0.05,False,15716,4657,171,0.23500778816199377,3510.4484291194285
6,3,0.4,0.1,False,15749,4622,173,0.23340147975077882,3510.4484291194285
6,3,0.5,0.02,False,17958,2419,167,0.12587616822429906,3510.4484291194285
6,3,0.5,0.05,False,17967,2411,166,0.12543808411214954,3510.4484291194285
6,3,0.5,0.1,False,17983,2395,166,0.12465926791277258,3510.4484291194285
6,3,0.6,0.02,False,19348,1047,149,0.05821651090342679,3510.4484291194285
6,3,0.6,0.05,False,19355,1041,148,0.057875778816199375,3510.4484291194285
6,3,0.6,0.1,False,19368,1028,148,0.05724299065420561,3510.4484291194285
6,3,0.7,0.02,False,19970,430,144,0.027940031152647975,3510.4484291194285
6,3,0.7,0.05,False,19979,422,143,0.027501947040498444,3510.4484291194285
6,3,0.7,0.1,False,19984,418,142,0.027258566978193146,3510.4484291194285
6,4,0.3,0.02,False,11859,8523,162,0.4227511682242991,3510.4484291194285
